Dec. 2, 2021   19:56:59
Amperometric i-t Curve
File: d:\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0.45
Sample Interval (s) = 0.1
Run Time (sec) = 3e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-4

tp = 372.51s
ip = 3.933e-8A
Ap = 3.341e-7C

Time/sec, Current/A

7.180e+1, 1.945e-7
7.190e+1, 1.942e-7
7.200e+1, 1.920e-7
7.210e+1, 1.929e-7
7.220e+1, 1.913e-7
7.230e+1, 1.931e-7
7.240e+1, 1.925e-7
7.250e+1, 1.931e-7
7.260e+1, 1.959e-7
7.270e+1, 1.920e-7
7.280e+1, 1.892e-7
7.290e+1, 1.913e-7
7.300e+1, 1.938e-7
7.310e+1, 1.922e-7
7.320e+1, 1.909e-7
7.330e+1, 1.931e-7
7.340e+1, 1.908e-7
7.350e+1, 1.911e-7
7.360e+1, 1.918e-7
7.370e+1, 1.899e-7
7.380e+1, 1.925e-7
7.390e+1, 1.904e-7
7.400e+1, 1.907e-7
7.410e+1, 1.943e-7
7.420e+1, 1.916e-7
7.430e+1, 1.894e-7
7.440e+1, 1.910e-7
7.450e+1, 1.890e-7
7.460e+1, 1.909e-7
7.470e+1, 1.913e-7
7.480e+1, 1.868e-7
7.490e+1, 1.918e-7
7.500e+1, 1.901e-7
7.510e+1, 1.903e-7
7.520e+1, 1.923e-7
7.530e+1, 1.910e-7
7.540e+1, 1.901e-7
7.550e+1, 1.901e-7
7.560e+1, 1.895e-7
7.570e+1, 1.894e-7
7.580e+1, 1.918e-7
7.590e+1, 1.874e-7
7.600e+1, 1.884e-7
7.610e+1, 1.907e-7
7.620e+1, 1.880e-7
7.630e+1, 1.872e-7
7.640e+1, 1.867e-7
7.650e+1, 1.866e-7
7.660e+1, 1.891e-7
7.670e+1, 1.853e-7
7.680e+1, 1.876e-7
7.690e+1, 1.860e-7
7.700e+1, 1.882e-7
7.710e+1, 1.880e-7
7.720e+1, 1.862e-7
7.730e+1, 1.878e-7
7.740e+1, 1.873e-7
7.750e+1, 1.901e-7
7.760e+1, 1.854e-7
7.770e+1, 1.864e-7
7.780e+1, 1.845e-7
7.790e+1, 1.866e-7
7.800e+1, 1.887e-7
7.810e+1, 1.868e-7
7.820e+1, 1.826e-7
7.830e+1, 1.855e-7
7.840e+1, 1.845e-7
7.850e+1, 1.866e-7
7.860e+1, 1.859e-7
7.870e+1, 1.867e-7
7.880e+1, 1.876e-7
7.890e+1, 1.858e-7
7.900e+1, 1.835e-7
7.910e+1, 1.831e-7
7.920e+1, 1.836e-7
7.930e+1, 1.839e-7
7.940e+1, 1.861e-7
7.950e+1, 1.832e-7
7.960e+1, 1.847e-7
7.970e+1, 1.851e-7
7.980e+1, 1.824e-7
7.990e+1, 1.874e-7
8.000e+1, 1.834e-7
8.010e+1, 1.847e-7
8.020e+1, 1.835e-7
8.030e+1, 1.834e-7
8.040e+1, 1.837e-7
8.050e+1, 1.840e-7
8.060e+1, 1.834e-7
8.070e+1, 1.817e-7
8.080e+1, 1.834e-7
8.090e+1, 1.837e-7
8.100e+1, 1.826e-7
8.110e+1, 1.833e-7
8.120e+1, 1.823e-7
8.130e+1, 1.818e-7
8.140e+1, 1.814e-7
8.150e+1, 1.857e-7
8.160e+1, 1.851e-7
8.170e+1, 1.799e-7
8.180e+1, 1.830e-7
8.190e+1, 1.841e-7
8.200e+1, 1.822e-7
8.210e+1, 1.815e-7
8.220e+1, 1.825e-7
8.230e+1, 1.835e-7
8.240e+1, 1.828e-7
8.250e+1, 1.802e-7
8.260e+1, 1.799e-7
8.270e+1, 1.798e-7
8.280e+1, 1.805e-7
8.290e+1, 1.826e-7
8.300e+1, 1.823e-7
8.310e+1, 1.796e-7
8.320e+1, 1.806e-7
8.330e+1, 1.826e-7
8.340e+1, 1.812e-7
8.350e+1, 1.797e-7
8.360e+1, 1.822e-7
8.370e+1, 1.807e-7
8.380e+1, 1.805e-7
8.390e+1, 1.796e-7
8.400e+1, 1.805e-7
8.410e+1, 1.782e-7
8.420e+1, 1.788e-7
8.430e+1, 1.851e-7
8.440e+1, 1.807e-7
8.450e+1, 1.782e-7
8.460e+1, 1.786e-7
8.470e+1, 1.793e-7
8.480e+1, 1.793e-7
8.490e+1, 1.801e-7
8.500e+1, 1.785e-7
8.510e+1, 1.795e-7
8.520e+1, 1.816e-7
8.530e+1, 1.799e-7
8.540e+1, 1.795e-7
8.550e+1, 1.773e-7
8.560e+1, 1.763e-7
8.570e+1, 1.791e-7
8.580e+1, 1.782e-7
8.590e+1, 1.782e-7
8.600e+1, 1.805e-7
8.610e+1, 1.812e-7
8.620e+1, 1.770e-7
8.630e+1, 1.797e-7
8.640e+1, 1.780e-7
8.650e+1, 1.752e-7
8.660e+1, 1.830e-7
8.670e+1, 1.780e-7
8.680e+1, 1.771e-7
8.690e+1, 1.775e-7
8.700e+1, 1.789e-7
8.710e+1, 1.742e-7
8.720e+1, 1.754e-7
8.730e+1, 1.806e-7
8.740e+1, 1.788e-7
8.750e+1, 1.766e-7
8.760e+1, 1.775e-7
8.770e+1, 1.758e-7
8.780e+1, 1.747e-7
8.790e+1, 1.798e-7
8.800e+1, 1.776e-7
8.810e+1, 1.755e-7
8.820e+1, 1.784e-7
