Dec. 2, 2021   20:40:44
Amperometric i-t Curve
File: d:\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0.45
Sample Interval (s) = 0.1
Run Time (sec) = 3e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-4

tp = 169.20s
ip = 9.721e-9A
Ap = 6.985e-8C

tp = 191.40s
ip = 1.208e-8A
Ap = 5.135e-8C

Time/sec, Current/A
5.780e+1, 2.589e-6
5.790e+1, 2.591e-6
5.800e+1, 2.587e-6
5.810e+1, 2.586e-6
5.820e+1, 2.590e-6
5.830e+1, 2.587e-6
5.840e+1, 2.577e-6
5.850e+1, 2.580e-6
5.860e+1, 2.580e-6
5.870e+1, 2.571e-6
5.880e+1, 2.574e-6
5.890e+1, 2.579e-6
5.900e+1, 2.578e-6
5.910e+1, 2.564e-6
5.920e+1, 2.569e-6
5.930e+1, 2.566e-6
5.940e+1, 2.565e-6
5.950e+1, 2.567e-6
5.960e+1, 2.565e-6
5.970e+1, 2.564e-6
5.980e+1, 2.566e-6
5.990e+1, 2.570e-6
6.000e+1, 2.562e-6
6.010e+1, 2.560e-6
6.020e+1, 2.561e-6
6.030e+1, 2.561e-6
6.040e+1, 2.555e-6
6.050e+1, 2.559e-6
6.060e+1, 2.559e-6
6.070e+1, 2.552e-6
6.080e+1, 2.555e-6
6.090e+1, 2.553e-6
6.100e+1, 2.552e-6
6.110e+1, 2.554e-6
6.120e+1, 2.552e-6
6.130e+1, 2.549e-6
6.140e+1, 2.554e-6
6.150e+1, 2.551e-6
6.160e+1, 2.545e-6
6.170e+1, 2.541e-6
6.180e+1, 2.540e-6
6.190e+1, 2.539e-6
6.200e+1, 2.547e-6
6.210e+1, 2.540e-6
6.220e+1, 2.541e-6
6.230e+1, 2.539e-6
6.240e+1, 2.535e-6
6.250e+1, 2.530e-6
6.260e+1, 2.528e-6
6.270e+1, 2.533e-6
6.280e+1, 2.533e-6
6.290e+1, 2.532e-6
6.300e+1, 2.532e-6
6.310e+1, 2.530e-6
6.320e+1, 2.531e-6
6.330e+1, 2.524e-6
6.340e+1, 2.521e-6
6.350e+1, 2.526e-6
6.360e+1, 2.518e-6
6.370e+1, 2.521e-6
6.380e+1, 2.523e-6
6.390e+1, 2.524e-6
6.400e+1, 2.527e-6
6.410e+1, 2.520e-6
6.420e+1, 2.527e-6
6.430e+1, 2.521e-6
6.440e+1, 2.513e-6
6.450e+1, 2.514e-6
6.460e+1, 2.515e-6
6.470e+1, 2.517e-6
6.480e+1, 2.511e-6
6.490e+1, 2.506e-6
6.500e+1, 2.509e-6
6.510e+1, 2.502e-6
6.520e+1, 2.514e-6
6.530e+1, 2.512e-6
6.540e+1, 2.505e-6
6.550e+1, 2.506e-6
6.560e+1, 2.499e-6
6.570e+1, 2.509e-6
6.580e+1, 2.501e-6
6.590e+1, 2.504e-6
6.600e+1, 2.505e-6
6.610e+1, 2.505e-6
6.620e+1, 2.505e-6
6.630e+1, 2.502e-6
6.640e+1, 2.505e-6
6.650e+1, 2.505e-6
6.660e+1, 2.503e-6
6.670e+1, 2.499e-6
6.680e+1, 2.504e-6
6.690e+1, 2.505e-6
6.700e+1, 2.502e-6
6.710e+1, 2.499e-6
6.720e+1, 2.499e-6
6.730e+1, 2.498e-6
6.740e+1, 2.498e-6
6.750e+1, 2.504e-6
6.760e+1, 2.506e-6
6.770e+1, 2.497e-6
6.780e+1, 2.502e-6
6.790e+1, 2.493e-6
6.800e+1, 2.497e-6
6.810e+1, 2.496e-6
6.820e+1, 2.493e-6
6.830e+1, 2.494e-6
6.840e+1, 2.498e-6
6.850e+1, 2.500e-6
6.860e+1, 2.494e-6
6.870e+1, 2.493e-6
6.880e+1, 2.496e-6
6.890e+1, 2.497e-6
6.900e+1, 2.495e-6
6.910e+1, 2.488e-6
6.920e+1, 2.490e-6
6.930e+1, 2.487e-6
6.940e+1, 2.491e-6
6.950e+1, 2.489e-6
6.960e+1, 2.486e-6
6.970e+1, 2.489e-6
6.980e+1, 2.484e-6
6.990e+1, 2.485e-6
7.000e+1, 2.482e-6
7.010e+1, 2.478e-6
7.020e+1, 2.483e-6
